timestamp,open,high,low,close,volume
2022-01-01,39.7,41.84,39.6,41.05,86110.85
2022-01-02,41.05,41.26,39.79,40.7,88075.64
2022-01-03,40.68,42.78,40.01,41.84,166457.25
2022-01-04,41.84,46.01,40.69,42.8,244730.79
2022-01-05,42.85,52.16,39.66,42.41,912753.92
2022-01-06,42.44,46.79,40.39,41.85,579815.22
2022-01-07,41.83,41.9,36.4,37.11,200016.84
2022-01-08,37.14,38.62,33.78,35.0,133697.25
2022-01-09,35.01,38.13,34.68,37.06,87242.15
2022-01-10,37.1,37.45,32.19,33.36,166207.24
2022-01-11,33.34,37.15,33.06,36.85,121896.77
2022-01-12,36.86,39.4,36.3,39.15,90468.36
2022-01-13,39.19,39.28,35.57,35.73,91636.89
2022-01-14,35.68,37.36,34.66,36.25,133460.33
2022-01-15,36.21,37.0,35.38,36.16,83742.26
2022-01-16,36.2,36.9,35.23,36.32,66852.68
2022-01-17,36.32,36.53,33.71,34.45,77830.76
2022-01-18,34.4,35.22,33.02,34.08,60345.54
2022-01-19,34.1,34.46,32.01,32.47,72177.1
2022-01-20,32.52,34.42,30.04,30.2,84639.6
2022-01-21,30.18,30.75,24.46,24.84,272133.59
2022-01-22,24.79,25.52,20.7,23.81,228920.99
2022-01-23,23.82,26.6,23.21,24.42,219617.74
2022-01-24,24.37,24.37,20.36,23.44,203358.79
2022-01-25,23.41,24.24,22.61,23.72,121068.12
2022-01-26,23.73,26.67,23.49,24.01,116060.68
2022-01-27,24.09,25.63,22.68,24.38,85711.86
2022-01-28,24.33,25.99,24.09,25.79,105567.49
2022-01-29,25.77,27.4,25.69,27.04,72596.27
2022-01-30,27.04,27.54,25.53,26.27,72219.54
2022-01-31,26.26,27.86,24.91,27.03,111228.25
2022-02-01,26.96,28.0,26.15,26.64,113835.89
2022-02-02,26.65,29.11,26.11,26.57,174087.05
2022-02-03,26.52,27.3,25.0,25.47,104462.18
2022-02-04,25.51,29.95,25.1,29.65,150431.95
2022-02-05,29.69,30.7,28.6,29.73,140829.61
2022-02-06,29.73,31.36,29.01,31.28,101226.87
2022-02-07,31.31,32.96,30.25,31.93,135632.89
2022-02-08,31.94,33.78,29.07,30.73,167278.78
2022-02-09,30.73,34.92,29.96,33.89,277450.72
2022-02-10,33.89,34.8,31.37,33.85,228138.9
2022-02-11,33.84,36.4,29.37,29.9,356219.69
