timestamp,open,high,low,close,volume
2023-07-03,0.7796,1.29,0.7796,0.8753,84013537.1
2023-07-10,0.8753,1.0583,0.7524,0.873,46022106.7
2023-07-17,0.8721,0.9666,0.74,0.7626,18825342.6
2023-07-24,0.7617,0.8461,0.6636,0.7089,43428646.5
2023-07-31,0.7091,0.7529,0.68,0.7364,19601982.8
2023-08-07,0.7373,0.7513,0.6889,0.7111,14189942.9
2023-08-14,0.7112,0.73,0.4649,0.5554,24729810.9
2023-08-21,0.5552,0.67,0.5079,0.6217,54962241.4
2023-08-28,0.6223,0.71,0.5807,0.6118,39208457.1
2023-09-04,0.612,0.6357,0.5602,0.584,14179754.2
2023-09-11,0.5836,0.642,0.525,0.5972,18619655.0
2023-09-18,0.5958,0.6822,0.5843,0.6189,17760452.3
2023-09-25,0.618,0.7688,0.6094,0.7642,34429183.1
2023-10-02,0.7647,0.779,0.6444,0.6804,21675910.6
2023-10-09,0.6807,0.7113,0.5898,0.6391,17421259.9
2023-10-16,0.6395,0.7778,0.639,0.7717,31678666.1
2023-10-23,0.7717,0.9124,0.7654,0.8939,32966392.8
2023-10-30,0.8941,0.965,0.875,0.9477,27160624.1
2023-11-06,0.9486,1.235,0.844,1.0879,60347034.0
2023-11-13,1.0876,1.21,0.99,1.1431,68585014.2
2023-11-20,1.144,1.1828,0.991,1.038,32753190.6
2023-11-27,1.0381,1.127,0.9862,1.1039,20233298.1
2023-12-04,1.1044,1.3969,1.1,1.2518,54630012.8
2023-12-11,1.2524,1.2575,1.011,1.0826,25796526.0
2023-12-18,1.0816,1.2537,1.0001,1.1879,35494528.3
2023-12-25,1.1878,1.3182,1.0322,1.1882,38521153.5
2024-01-01,1.1884,1.5652,1.0174,1.2485,61752335.8
2024-01-08,1.248,1.942,1.137,1.6248,83122905.2
2024-01-15,1.6246,2.3888,1.6116,2.315,76812532.8
2024-01-22,2.3149,2.5999,1.7922,2.2398,78554066.2
2024-01-29,2.2398,3.2704,2.211,3.0416,71668434.9
2024-02-05,3.0428,3.39,2.815,3.1373,68319003.9
2024-02-12,3.1363,3.3689,2.8981,2.934,35559351.3
2024-02-19,2.935,2.9722,2.3973,2.7722,54212880.9
2024-02-26,2.7729,3.67,2.6476,3.2974,47829497.9
2024-03-04,3.2976,3.3653,2.24,3.0193,42486708.9
2024-03-11,3.0185,3.2426,2.4239,2.7928,38367521.2
2024-03-18,2.7928,3.755,2.3031,3.5611,70309396.7
2024-03-25,3.5616,5.5391,3.5094,5.5013,81982600.2
2024-04-01,5.5013,7.3111,4.6403,6.7272,115976385.0
2024-04-08,6.727,7.5377,4.9,6.8251,106610211.6
2024-04-15,6.8245,7.1539,5.48,5.8891,59450857.2
2024-04-22,5.8889,6.85,5.27,5.455,41309891.3
2024-04-29,5.457,5.575,4.028,5.049,66688532.8
2024-05-06,5.05,5.41,4.194,4.208,28819106.8
2024-05-13,4.208,5.07,3.824,4.813,46093835.9
2024-05-20,4.811,7.25,4.785,6.762,68422429.1
2024-05-27,6.759,7.197,5.833,5.85,28336204.8
2024-06-03,5.85,6.389,4.85,5.358,22151488.4
2024-06-10,5.358,5.534,5.221,5.261,2243715.1
