timestamp,open,high,low,close,volume
2022-01-03,176.34,176.49,133.0,140.82,12157534.49
2022-01-10,140.82,157.8,130.0,147.98,10411432.62
2022-01-17,147.98,148.29,87.73,99.78,19732137.39
2022-01-24,99.74,104.43,80.83,93.29,24460352.92
2022-01-31,93.26,118.6,89.18,115.28,23751733.4
2022-02-07,115.26,121.93,91.35,92.85,15995428.18
2022-02-14,92.85,105.77,85.56,90.72,14134313.49
2022-02-21,90.7,96.14,75.35,85.63,26154904.06
2022-02-28,85.61,106.43,84.09,84.57,20958093.9
2022-03-07,84.58,89.92,77.65,78.73,17919272.02
2022-03-14,78.72,94.55,78.0,88.62,15953521.15
2022-03-21,88.62,107.46,86.74,107.04,19846126.49
2022-03-28,107.04,143.51,105.22,136.9,30931251.08
2022-04-04,136.9,138.29,108.1,111.07,20150587.22
2022-04-11,111.06,111.94,98.1,100.15,15675654.25
2022-04-18,100.15,110.9,94.62,99.23,14789976.57
2022-04-25,99.22,101.98,81.91,89.68,13817835.68
2022-05-02,89.67,95.25,73.69,75.38,16286499.96
2022-05-09,75.39,77.21,37.37,58.83,56666661.979
2022-05-16,58.83,58.83,47.81,52.48,28533931.25
2022-05-23,52.48,54.68,39.93,44.98,34662211.99
2022-05-30,44.98,48.39,35.71,38.52,31680429.89
2022-06-06,38.53,44.87,30.56,30.61,38889572.941
2022-06-13,30.6,36.0,25.86,34.19,72724886.106
2022-06-20,34.19,42.92,31.73,39.39,44045964.16
2022-06-27,39.39,41.25,30.92,33.39,32137486.49
2022-07-04,33.4,39.72,32.45,36.71,29101071.57
2022-07-11,36.71,41.09,31.82,38.62,28325542.57
2022-07-18,38.61,47.36,38.55,40.93,37936396.31
2022-07-25,40.93,46.65,34.67,42.35,34974486.7
2022-08-01,42.34,43.26,37.43,40.6,26300852.45
2022-08-08,40.6,48.38,39.15,44.87,28492697.5
2022-08-15,44.86,47.24,34.21,36.47,28064151.68
2022-08-22,36.48,36.56,30.19,30.44,22077203.86
2022-08-29,30.43,33.16,30.0,32.16,16639278.09
2022-09-05,32.17,36.0,30.31,34.99,19512604.6
2022-09-12,34.99,39.01,30.86,31.1,24349554.58
2022-09-19,31.1,34.79,30.01,32.34,22005029.38
2022-09-26,32.33,35.41,31.65,32.06,20717720.17
