timestamp,open,high,low,close,volume
2024-03-04,1.1892,2.4956,1.0,2.1353,639598936.17
2024-03-11,2.1359,3.5672,1.789,3.0393,772679562.34
2024-03-18,3.04,3.2983,1.95,2.8202,715098740.02
2024-03-25,2.8203,4.86,2.6268,4.5773,678320699.4
2024-04-01,4.5773,4.6499,3.1858,3.759,473432369.11
2024-04-08,3.7598,4.3432,1.9489,3.0617,672056732.79
2024-04-15,3.0609,3.2125,2.2458,2.9283,627473620.2
2024-04-22,2.9274,3.5614,2.6,2.6515,515598189.14
2024-04-29,2.6514,3.5,2.2641,3.2202,448519389.03
2024-05-06,3.2202,3.6799,2.7358,2.972,409826913.38
2024-05-13,2.9726,3.3647,2.4204,2.5311,563203986.71
2024-05-20,2.5306,3.28,2.4948,2.9512,566888613.49
2024-05-27,2.9517,4.08,2.9423,3.1999,516090489.35
2024-06-03,3.2,3.588,2.5392,2.7756,361827654.16
2024-06-10,2.7757,2.9178,2.6467,2.7751,39533418.96
