timestamp,open,high,low,close,volume
2024-04-01,0.05,1.86,0.05,1.008,961772155.9
2024-04-08,1.008,1.049,0.452,0.711,822290642.2
2024-04-15,0.711,0.712,0.532,0.613,416850467.9
2024-04-22,0.613,0.682,0.525,0.629,408957041.3
2024-04-29,0.63,0.777,0.576,0.675,752956382.3
2024-05-06,0.675,0.708,0.582,0.591,269213484.7
2024-05-13,0.591,0.596,0.513,0.531,248576942.8
2024-05-20,0.531,0.609,0.51,0.562,229838305.2
2024-05-27,0.561,0.678,0.557,0.632,361187975.3
2024-06-03,0.633,0.764,0.612,0.68,626965826.4
2024-06-10,0.68,0.68,0.582,0.586,48765736.2
